Datetime,Subsistema,Demanda Maxima Instantanea (MW),ENA Bruta (% MLT),EAR MAX (MWmes),Carga de Energia (MWmed),ENA Bruta (MWmed),Demanda Maxima horaria (MWh_h),Geracao de Energia - dia - (GWh),Carga de Energia (GWh),EAR (MWmes),ENA armazenavel (MWmed),EAR (GWh),Geracao de Energia - dia - (MWmed) ,ENA armazenavel (% MLT),EAR (%)
2018-05-11,Sudeste/Centro-Oeste,42805.17,78.26529694,202691.9375,37066.55925,30937.91992188,42513.706,861.327475,889.597422,87571.640625,28529.30664063,63971.08347656,35888.64479123,72.17209625,43.20429993
2018-05-12,Sudeste/Centro-Oeste,42130.602,78.17169952,202691.9375,34383.492,30900.921875,41568.367999999995,841.466724,825.203808,87427.1953125,28398.4296875,63865.56617578,35061.1134996,71.84100342,43.13299942
2018-05-13,Sudeste/Centro-Oeste,37868.184,78.47609711,202691.9375,30296.62108333,31021.25,37401.535,756.53089,727.118906,87443.4609375,27200.79101563,63877.44821484,31522.12041627,68.81130219,43.14110184
2018-05-14,Sudeste/Centro-Oeste,42731.363,77.97840118,202691.9375,36146.032,30824.51367188,42462.996,823.04165,867.504768,87231.9140625,27812.00195313,63722.91322266,34293.40208293,70.35749817,43.0367012
2018-05-15,Sudeste/Centro-Oeste,43322.012,76.74120331,202691.9375,37247.44491667,30335.46679688,42863.92,871.7942949999999,893.938678,87033.828125,28172.23828125,63578.21144531,36324.76229119,71.26879883,42.93899918
2018-05-16,Sudeste/Centro-Oeste,43469.695,75.5861969,202691.9375,37532.40508333,29878.88671875,43238.254,874.136136,900.777722,86909.9375,28082.4921875,63487.70934375,36422.33899954,71.04180145,42.87779999
2018-05-17,Sudeste/Centro-Oeste,43147.734000000004,75.25949859999999,202691.9375,37366.60016667,29749.734375,42977.069,879.720704,896.798404,86790.0625,28118.05664063,63400.14065625,36655.02933296,71.13169861,42.81869888
2018-05-18,Sudeste/Centro-Oeste,43549.66,75.35679626,202691.9375,37518.75175,29788.21679688,43182.251,868.394009,900.450042,86666.5859375,27558.86523438,63309.94102734,36183.08370791,69.71710205,42.75780106
2018-05-19,Sudeste/Centro-Oeste,41242.145,76.00029755,202691.9375,33857.9455,30042.59375,40758.237,853.945275,812.590692,86581.1171875,27743.74414063,63247.50610547,35581.0531246,70.18479919,42.71559906
2018-05-20,Sudeste/Centro-Oeste,38051.62,76.5318985,202691.9375,29318.48891667,30252.70507813,37343.594,789.9261389999999,703.643734,86673.046875,27840.26367188,63314.66074219,32913.58912458,70.42900085,42.76100159
2018-05-21,Sudeste/Centro-Oeste,40669.691,77.44809723,202691.9375,32838.69254167,30614.87890625,40321.468,800.303108,788.128621,86718.5859375,28275.3671875,63347.92702734,33345.96283293,71.52970123,42.78340149
2018-05-22,Sudeste/Centro-Oeste,41329.863,77.49500275,202691.9375,33574.98183333,30633.43359375,40920.535,793.266416,805.799564,86752.7890625,28373.57617188,63372.91241016,33052.76733286,71.77809906,42.8003006
2018-05-23,Sudeste/Centro-Oeste,40727.113,77.00160217,202691.9375,33642.45129167,30438.390625,40425.515,805.601613,807.418831,86736.84375,28500.8125,63361.26435938,33566.73387459,72.09999847,42.79240036
2018-05-24,Sudeste/Centro-Oeste,40543.184,76.28209686,202691.9375,33599.61529167,30153.97070313,40285.821,807.071235,806.390767,86722.703125,28484.78320313,63350.93463281,33627.96812454,72.05950165,42.78549957
2018-05-25,Sudeste/Centro-Oeste,40019.344,75.65440369,202691.9375,33119.730875,29905.83984375,39783.998999999996,804.444836,794.873541,86625.265625,27956.05859375,63279.75653906,33518.53483282,70.72190094,42.73740005
2018-05-26,Sudeste/Centro-Oeste,39010.133,74.88700104,202691.9375,30034.1625,29602.5078125,38580.21,746.124196,720.8199,86606.1171875,25779.9921875,63265.76860547,31088.50816623,65.21700287,42.72800064
2018-05-27,Sudeste/Centro-Oeste,37495.566,73.92880249,202691.9375,27610.06720833,29223.73632813,36698.291,697.602642,662.641613,86591.78125,24064.4609375,63255.29620313,29066.77674952,60.8771019,42.72090149
2018-05-28,Sudeste/Centro-Oeste,39588.42,72.78510284,202691.9375,31652.64820833,28771.6328125,39248.311,745.7594690000001,759.663557,86542.984375,25117.01171875,63219.65008594,31073.31120792,63.53979874,42.69680023
